,country,fuel_type,year,1K_tonne_oil_equivalent
377,Lithuania,Blended biogasoline,2008,15.477
378,Luxembourg,Blended biogasoline,2008,0.922
379,Hungary,Blended biogasoline,2008,46.379
380,Malta,Blended biogasoline,2008,0.000
381,Netherlands,Blended biogasoline,2008,107.841
382,Austria,Blended biogasoline,2008,54.101
383,Poland,Blended biogasoline,2008,127.687
384,Portugal,Blended biogasoline,2008,0.000
385,Romania,Blended biogasoline,2008,0.000
386,Slovenia,Blended biogasoline,2008,2.558
387,Slovakia,Blended biogasoline,2008,11.803
388,Finland,Blended biogasoline,2008,61.080
389,Sweden,Blended biogasoline,2008,192.045
390,Iceland,Blended biogasoline,2008,0.000
391,Liechtenstein,Blended biogasoline,2008,:
392,Norway,Blended biogasoline,2008,0.640
393,Switzerland,Blended biogasoline,2008,:
394,United Kingdom,Blended biogasoline,2008,105.079
395,Montenegro,Blended biogasoline,2008,0.000
396,North Macedonia,Blended biogasoline,2008,0.000
397,Albania,Blended biogasoline,2008,0.000
398,Serbia,Blended biogasoline,2008,0.000
399,Turkey,Blended biogasoline,2008,6.449
400,Bosnia and Herzegovina,Blended biogasoline,2008,:
401,Kosovo (under United Nations Security Council Resolution 1244/99),Blended biogasoline,2008,0.000
402,Moldova,Blended biogasoline,2008,:
403,Ukraine,Blended biogasoline,2008,0.000
404,Georgia,Blended biogasoline,2008,:
405,European Union - 27 countries (from 2020),Fuel oil,2008,"1,550.977"
406,European Union - 28 countries (2013-2020),Fuel oil,2008,"1,658.085"
407,Euro area - 19 countries  (from 2015),Fuel oil,2008,"1,427.075"
408,Belgium,Fuel oil,2008,3.822
409,Bulgaria,Fuel oil,2008,0.000
410,Czechia,Fuel oil,2008,0.000
411,Denmark,Fuel oil,2008,28.156
412,Germany (until 1990 former territory of the FRG),Fuel oil,2008,0.000
413,Estonia,Fuel oil,2008,0.000
414,Ireland,Fuel oil,2008,25.608
415,Greece,Fuel oil,2008,281.762
416,Spain,Fuel oil,2008,200.707
417,France,Fuel oil,2008,77.388
418,Croatia,Fuel oil,2008,1.930
419,Italy,Fuel oil,2008,702.207
420,Cyprus,Fuel oil,2008,0.000
421,Latvia,Fuel oil,2008,0.000
422,Lithuania,Fuel oil,2008,0.000
423,Luxembourg,Fuel oil,2008,0.000
424,Hungary,Fuel oil,2008,0.000
425,Malta,Fuel oil,2008,3.822
426,Netherlands,Fuel oil,2008,0.000
427,Austria,Fuel oil,2008,0.000
428,Poland,Fuel oil,2008,0.000
429,Portugal,Fuel oil,2008,93.628
430,Romania,Fuel oil,2008,0.965
431,Slovenia,Fuel oil,2008,0.000
432,Slovakia,Fuel oil,2008,0.000
433,Finland,Fuel oil,2008,38.131
434,Sweden,Fuel oil,2008,92.851
435,Iceland,Fuel oil,2008,3.860
436,Liechtenstein,Fuel oil,2008,:
437,Norway,Fuel oil,2008,111.517
438,Switzerland,Fuel oil,2008,:
439,United Kingdom,Fuel oil,2008,107.108
440,Montenegro,Fuel oil,2008,0.000
441,North Macedonia,Fuel oil,2008,0.000
442,Albania,Fuel oil,2008,0.000
443,Serbia,Fuel oil,2008,2.984
444,Turkey,Fuel oil,2008,85.879
445,Bosnia and Herzegovina,Fuel oil,2008,:
446,Kosovo (under United Nations Security Council Resolution 1244/99),Fuel oil,2008,0.000
447,Moldova,Fuel oil,2008,:
448,Ukraine,Fuel oil,2008,8.598
449,Georgia,Fuel oil,2008,:
450,European Union - 27 countries (from 2020),Pure biodiesels,2008,"1,067.978"
451,European Union - 28 countries (2013-2020),Pure biodiesels,2008,"1,067.978"
452,Euro area - 19 countries  (from 2015),Pure biodiesels,2008,"1,001.624"
453,Belgium,Pure biodiesels,2008,0.000
454,Bulgaria,Pure biodiesels,2008,0.000
455,Czechia,Pure biodiesels,2008,0.000
456,Denmark,Pure biodiesels,2008,0.000
457,Germany (until 1990 former territory of the FRG),Pure biodiesels,2008,904.913
458,Estonia,Pure biodiesels,2008,0.000
459,Ireland,Pure biodiesels,2008,2.671
460,Greece,Pure biodiesels,2008,0.000
461,Spain,Pure biodiesels,2008,0.000
462,France,Pure biodiesels,2008,0.000
463,Croatia,Pure biodiesels,2008,0.000
464,Italy,Pure biodiesels,2008,0.000
465,Cyprus,Pure biodiesels,2008,0.000
466,Latvia,Pure biodiesels,2008,0.000
467,Lithuania,Pure biodiesels,2008,0.000
468,Luxembourg,Pure biodiesels,2008,0.000
469,Hungary,Pure biodiesels,2008,0.000
470,Malta,Pure biodiesels,2008,0.000
471,Netherlands,Pure biodiesels,2008,0.000
472,Austria,Pure biodiesels,2008,94.040
473,Poland,Pure biodiesels,2008,5.370
474,Portugal,Pure biodiesels,2008,0.000
475,Romania,Pure biodiesels,2008,57.900
476,Slovenia,Pure biodiesels,2008,0.000
477,Slovakia,Pure biodiesels,2008,0.000
478,Finland,Pure biodiesels,2008,0.000
479,Sweden,Pure biodiesels,2008,3.084
480,Iceland,Pure biodiesels,2008,0.000
481,Liechtenstein,Pure biodiesels,2008,:
482,Norway,Pure biodiesels,2008,0.000
483,Switzerland,Pure biodiesels,2008,:
484,United Kingdom,Pure biodiesels,2008,0.000
485,Montenegro,Pure biodiesels,2008,0.000
486,North Macedonia,Pure biodiesels,2008,0.000
487,Albania,Pure biodiesels,2008,0.000
488,Serbia,Pure biodiesels,2008,0.000
489,Turkey,Pure biodiesels,2008,0.000
490,Bosnia and Herzegovina,Pure biodiesels,2008,:
491,Kosovo (under United Nations Security Council Resolution 1244/99),Pure biodiesels,2008,0.000
492,Moldova,Pure biodiesels,2008,:
493,Ukraine,Pure biodiesels,2008,0.000
494,Georgia,Pure biodiesels,2008,:
495,European Union - 27 countries (from 2020),Biogases,2008,19.060
496,European Union - 28 countries (2013-2020),Biogases,2008,19.060
497,Euro area - 19 countries  (from 2015),Biogases,2008,0.334
498,Belgium,Biogases,2008,0.000
499,Bulgaria,Biogases,2008,0.000
500,Czechia,Biogases,2008,0.000
501,Denmark,Biogases,2008,0.000
502,Germany (until 1990 former territory of the FRG),Biogases,2008,0.334
503,Estonia,Biogases,2008,0.000
504,Ireland,Biogases,2008,0.000
505,Greece,Biogases,2008,0.000
506,Spain,Biogases,2008,0.000
507,France,Biogases,2008,0.000
508,Croatia,Biogases,2008,0.000
509,Italy,Biogases,2008,0.000
510,Cyprus,Biogases,2008,0.000
511,Latvia,Biogases,2008,0.000
512,Lithuania,Biogases,2008,0.000
513,Luxembourg,Biogases,2008,0.000
514,Hungary,Biogases,2008,0.000
