,country,fuel_type,year,1K_tonne_oil_equivalent
345,Iceland,Liquefied petroleum gases,2008,2.259
346,Liechtenstein,Liquefied petroleum gases,2008,:
347,Norway,Liquefied petroleum gases,2008,13.213
348,Switzerland,Liquefied petroleum gases,2008,:
349,United Kingdom,Liquefied petroleum gases,2008,361.835
350,Montenegro,Liquefied petroleum gases,2008,0.000
351,North Macedonia,Liquefied petroleum gases,2008,10.074
352,Albania,Liquefied petroleum gases,2008,63.280
353,Serbia,Liquefied petroleum gases,2008,32.770
354,Turkey,Liquefied petroleum gases,2008,"1,329.705"
355,Bosnia and Herzegovina,Liquefied petroleum gases,2008,:
356,Kosovo (under United Nations Security Council Resolution 1244/99),Liquefied petroleum gases,2008,10.080
357,Moldova,Liquefied petroleum gases,2008,:
358,Ukraine,Liquefied petroleum gases,2008,95.586
359,Georgia,Liquefied petroleum gases,2008,:
360,European Union - 27 countries (from 2020),Ambient heat (heat pumps),2008,"1,207.161"
361,European Union - 28 countries (2013-2020),Ambient heat (heat pumps),2008,"1,208.897"
362,Euro area - 19 countries  (from 2015),Ambient heat (heat pumps),2008,"1,095.972"
363,Belgium,Ambient heat (heat pumps),2008,0.000
364,Bulgaria,Ambient heat (heat pumps),2008,0.000
365,Czechia,Ambient heat (heat pumps),2008,24.421
366,Denmark,Ambient heat (heat pumps),2008,76.168
367,Germany (until 1990 former territory of the FRG),Ambient heat (heat pumps),2008,342.314
368,Estonia,Ambient heat (heat pumps),2008,0.000
369,Ireland,Ambient heat (heat pumps),2008,8.752
370,Greece,Ambient heat (heat pumps),2008,0.000
371,Spain,Ambient heat (heat pumps),2008,0.000
372,France,Ambient heat (heat pumps),2008,672.109
373,Croatia,Ambient heat (heat pumps),2008,10.600
374,Italy,Ambient heat (heat pumps),2008,0.000
375,Cyprus,Ambient heat (heat pumps),2008,0.000
376,Latvia,Ambient heat (heat pumps),2008,0.000
377,Lithuania,Ambient heat (heat pumps),2008,0.000
378,Luxembourg,Ambient heat (heat pumps),2008,0.408
379,Hungary,Ambient heat (heat pumps),2008,0.000
380,Malta,Ambient heat (heat pumps),2008,0.000
381,Netherlands,Ambient heat (heat pumps),2008,12.526
382,Austria,Ambient heat (heat pumps),2008,54.523
383,Poland,Ambient heat (heat pumps),2008,0.000
384,Portugal,Ambient heat (heat pumps),2008,0.000
385,Romania,Ambient heat (heat pumps),2008,0.000
386,Slovenia,Ambient heat (heat pumps),2008,5.340
387,Slovakia,Ambient heat (heat pumps),2008,0.000
388,Finland,Ambient heat (heat pumps),2008,0.000
389,Sweden,Ambient heat (heat pumps),2008,0.000
390,Iceland,Ambient heat (heat pumps),2008,0.000
391,Liechtenstein,Ambient heat (heat pumps),2008,:
392,Norway,Ambient heat (heat pumps),2008,193.388
393,Switzerland,Ambient heat (heat pumps),2008,:
394,United Kingdom,Ambient heat (heat pumps),2008,1.736
395,Montenegro,Ambient heat (heat pumps),2008,0.000
396,North Macedonia,Ambient heat (heat pumps),2008,0.000
397,Albania,Ambient heat (heat pumps),2008,0.000
398,Serbia,Ambient heat (heat pumps),2008,0.000
399,Turkey,Ambient heat (heat pumps),2008,0.000
400,Bosnia and Herzegovina,Ambient heat (heat pumps),2008,:
401,Kosovo (under United Nations Security Council Resolution 1244/99),Ambient heat (heat pumps),2008,0.000
402,Moldova,Ambient heat (heat pumps),2008,:
403,Ukraine,Ambient heat (heat pumps),2008,0.000
404,Georgia,Ambient heat (heat pumps),2008,:
405,European Union - 27 countries (from 2020),Other(kerosene),2008,"1,236.383"
406,European Union - 28 countries (2013-2020),Other(kerosene),2008,"3,578.340"
407,Euro area - 19 countries  (from 2015),Other(kerosene),2008,"1,233.255"
408,Belgium,Other(kerosene),2008,52.379
409,Bulgaria,Other(kerosene),2008,0.000
410,Czechia,Other(kerosene),2008,0.000
411,Denmark,Other(kerosene),2008,2.078
412,Germany (until 1990 former territory of the FRG),Other(kerosene),2008,6.134
413,Estonia,Other(kerosene),2008,0.000
414,Ireland,Other(kerosene),2008,949.412
415,Greece,Other(kerosene),2008,7.323
416,Spain,Other(kerosene),2008,0.000
417,France,Other(kerosene),2008,182.804
418,Croatia,Other(kerosene),2008,1.050
419,Italy,Other(kerosene),2008,10.270
420,Cyprus,Other(kerosene),2008,14.646
421,Latvia,Other(kerosene),2008,0.000
422,Lithuania,Other(kerosene),2008,0.000
423,Luxembourg,Other(kerosene),2008,0.990
424,Hungary,Other(kerosene),2008,0.000
425,Malta,Other(kerosene),2008,1.046
426,Netherlands,Other(kerosene),2008,7.206
427,Austria,Other(kerosene),2008,0.000
428,Poland,Other(kerosene),2008,0.000
429,Portugal,Other(kerosene),2008,1.045
430,Romania,Other(kerosene),2008,0.000
431,Slovenia,Other(kerosene),2008,0.000
432,Slovakia,Other(kerosene),2008,0.000
433,Finland,Other(kerosene),2008,0.000
434,Sweden,Other(kerosene),2008,0.000
435,Iceland,Other(kerosene),2008,0.000
436,Liechtenstein,Other(kerosene),2008,:
437,Norway,Other(kerosene),2008,57.648
438,Switzerland,Other(kerosene),2008,:
439,United Kingdom,Other(kerosene),2008,"2,341.957"
440,Montenegro,Other(kerosene),2008,0.000
441,North Macedonia,Other(kerosene),2008,0.000
442,Albania,Other(kerosene),2008,0.000
443,Serbia,Other(kerosene),2008,0.000
444,Turkey,Other(kerosene),2008,54.400
445,Bosnia and Herzegovina,Other(kerosene),2008,:
446,Kosovo (under United Nations Security Council Resolution 1244/99),Other(kerosene),2008,0.000
447,Moldova,Other(kerosene),2008,:
448,Ukraine,Other(kerosene),2008,0.000
449,Georgia,Other(kerosene),2008,:
450,European Union - 27 countries (from 2020),Solar thermal,2008,964.590
451,European Union - 28 countries (2013-2020),Solar thermal,2008,964.590
452,Euro area - 19 countries  (from 2015),Solar thermal,2008,935.811
453,Belgium,Solar thermal,2008,5.111
454,Bulgaria,Solar thermal,2008,0.000
455,Czechia,Solar thermal,2008,3.676
456,Denmark,Solar thermal,2008,9.196
457,Germany (until 1990 former territory of the FRG),Solar thermal,2008,361.852
458,Estonia,Solar thermal,2008,0.000
459,Ireland,Solar thermal,2008,3.150
460,Greece,Solar thermal,2008,210.184
461,Spain,Solar thermal,2008,94.542
462,France,Solar thermal,2008,46.838
463,Croatia,Solar thermal,2008,2.771
464,Italy,Solar thermal,2008,52.092
465,Cyprus,Solar thermal,2008,47.650
466,Latvia,Solar thermal,2008,0.000
467,Lithuania,Solar thermal,2008,0.000
468,Luxembourg,Solar thermal,2008,0.524
469,Hungary,Solar thermal,2008,3.678
470,Malta,Solar thermal,2008,0.000
471,Netherlands,Solar thermal,2008,16.170
472,Austria,Solar thermal,2008,72.596
473,Poland,Solar thermal,2008,0.000
474,Portugal,Solar thermal,2008,18.152
475,Romania,Solar thermal,2008,0.000
476,Slovenia,Solar thermal,2008,6.186
477,Slovakia,Solar thermal,2008,0.000
478,Finland,Solar thermal,2008,0.764
479,Sweden,Solar thermal,2008,9.458
480,Iceland,Solar thermal,2008,0.000
481,Liechtenstein,Solar thermal,2008,:
482,Norway,Solar thermal,2008,0.000
483,Switzerland,Solar thermal,2008,:
484,United Kingdom,Solar thermal,2008,0.000
485,Montenegro,Solar thermal,2008,0.000
486,North Macedonia,Solar thermal,2008,0.000
487,Albania,Solar thermal,2008,2.006
488,Serbia,Solar thermal,2008,0.000
489,Turkey,Solar thermal,2008,293.995
490,Bosnia and Herzegovina,Solar thermal,2008,:
491,Kosovo (under United Nations Security Council Resolution 1244/99),Solar thermal,2008,0.072
492,Moldova,Solar thermal,2008,:
493,Ukraine,Solar thermal,2008,0.000
494,Georgia,Solar thermal,2008,:
495,European Union - 27 countries (from 2020),Total,2009,"262,211.737"
496,European Union - 28 countries (2013-2020),Total,2009,"303,536.659"
497,Euro area - 19 countries  (from 2015),Total,2009,"204,735.322"
498,Belgium,Total,2009,"8,537.269"
499,Bulgaria,Total,2009,"2,114.011"
500,Czechia,Total,2009,"6,656.571"
501,Denmark,Total,2009,"4,510.054"
502,Germany (until 1990 former territory of the FRG),Total,2009,"59,464.701"
503,Estonia,Total,2009,970.068
504,Ireland,Total,2009,"3,412.848"
505,Greece,Total,2009,"4,887.508"
506,Spain,Total,2009,"15,967.794"
507,France,Total,2009,"43,976.870"
508,Croatia,Total,2009,"2,644.875"
509,Italy,Total,2009,"34,040.636"
510,Cyprus,Total,2009,358.796
511,Latvia,Total,2009,"1,534.586"
512,Lithuania,Total,2009,"1,568.648"
513,Luxembourg,Total,2009,518.408
514,Hungary,Total,2009,"6,311.473"
515,Malta,Total,2009,64.393
516,Netherlands,Total,2009,"11,027.901"
517,Austria,Total,2009,"6,492.475"
518,Poland,Total,2009,"19,991.704"
519,Portugal,Total,2009,"3,197.832"
520,Romania,Total,2009,"8,015.179"
521,Slovenia,Total,2009,"1,320.449"
522,Slovakia,Total,2009,"2,147.493"
523,Finland,Total,2009,"5,246.647"
524,Sweden,Total,2009,"7,232.548"
525,Iceland,Total,2009,375.096
526,Liechtenstein,Total,2009,:
527,Norway,Total,2009,"4,227.355"
528,Switzerland,Total,2009,:
529,United Kingdom,Total,2009,"41,324.922"
530,Montenegro,Total,2009,266.275
531,North Macedonia,Total,2009,549.169
532,Albania,Total,2009,487.171
533,Serbia,Total,2009,"3,043.422"
534,Turkey,Total,2009,"18,864.658"
